PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,RatingBin,BestMove,A,B,C,D
2PmXD,7k/p1p3pp/3r1p2/8/8/3n2P1/PPP4P/1K2R3 w - - 0 29,d8d6 e1e8,401,107,100,109,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/Kdio40wa/black#56,,"(400, 500]",e1e8,e1e7,e1c1,e1e8,a2a3
8IBwd,1k4n1/ppp3p1/3q1pP1/3N4/4Q3/4P3/PPP2P2/2K1b3 w - - 1 21,a6d6 e4e8 d6d8 e8d8,401,104,100,172,endgame fork mate mateIn2 short,https://lichess.org/SI5OraRY/black#40,,"(400, 500]",e4e8,d5e7,b2b4,d5f4,e4e8
9T5Aw,2r1q1k1/2p2p1p/3p2p1/pb1P4/1p1R1Q2/5B2/PP3PPP/4R1K1 b - - 0 28,d1e1 e8e1,401,92,100,245,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/QTSltsW2#55,,"(400, 500]",e8e1,e8e1,h7h6,b5f1,b5a4
CFL6a,r2r2k1/3q2p1/8/5p2/5P2/pP2R2P/P1P1R1P1/1K2Q3 b - - 3 30,e6e3 d7d1 e1d1 d8d1,401,94,100,320,endgame mate mateIn2 short,https://lichess.org/ObyeLcXs#59,,"(400, 500]",d7d1,d7b5,a8b8,g8f7,d7d1
DlAEK,4r1k1/ppp2ppp/8/8/1P3B2/P1bP3P/B4PP1/5KR1 b - - 0 30,e3f4 e8e1,401,88,100,97,endgame mate mateIn1 oneMove,https://lichess.org/xojVK6Ge#59,,"(400, 500]",e8e1,b7b6,c3e1,c3d2,e8e1
FGvpi,3r1k2/5p2/3p1P2/3PpB2/pp1n3R/4q3/PP4PP/5R1K w - - 0 32,e8f8 h4h8,401,99,100,149,endgame mate mateIn1 oneMove,https://lichess.org/cawFWMYm/black#62,,"(400, 500]",h4h8,h4h8,f5d3,h4f4,f1d1
G10ak,2r2rk1/1p1bbpp1/pq1pp2p/4P3/5PnP/PnNQ3N/6P1/BBRK3R w - - 3 23,d4b3 d3h7,401,94,100,390,mate mateIn1 middlegame oneMove,https://lichess.org/rmX6uzJf/black#44,,"(400, 500]",d3h7,d3f3,h3g1,d3h7,d1c2
HZ43j,4r1k1/p4p2/1p3Pp1/8/2P3NQ/8/4rPPP/3R2K1 b - - 0 31,b1d1 e2e1 d1e1 e8e1,401,91,100,196,backRankMate endgame mate mateIn2 short,https://lichess.org/uQFkPozN#61,,"(400, 500]",e2e1,g6g5,e2e3,e2e1,e2a2
IRoVG,r1b3k1/pp2rppp/4p3/2p5/4P3/6P1/PPP2PBP/R2R2K1 w - - 0 16,e8e7 d1d8 e7e8 d8e8,401,91,100,164,backRankMate endgame mate mateIn2 short,https://lichess.org/2JE8VAqr/black#30,French_Defense French_Defense_Kings_Indian_Attack,"(400, 500]",d1d8,d1d8,c2c3,g3g4,d1d5
00c89,2r3k1/6pp/p1q2r2/1pn2p2/1B1pPP2/3Pn1QB/1PP2R1P/6RK w - - 4 25,f8f6 g3g7,402,89,100,285,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/qy4azPDa/black#48,,"(400, 500]",g3g7,g1c1,h3f1,b4e1,g3g7
02qe6,r5k1/pp3ppp/2n1r3/8/8/2N1qB2/PPQ3PP/4RK1R b - - 3 20,a1e1 e3e1,402,89,100,460,mate mateIn1 middlegame oneMove,https://lichess.org/rxzphgaf#39,,"(400, 500]",e3e1,b7b5,e3e1,e6e4,e3f4
0SZDn,4r1k1/1p5p/6p1/pP1p1p2/P2B4/2PP2Q1/5PPP/4R1K1 b - - 0 27,a1e1 e8e1,402,94,100,98,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/AIDrwWFG#53,,"(400, 500]",e8e1,g8f7,b7b6,e8e1,e8d8
8plUb,5k2/8/5K1R/7p/5P2/6n1/7r/8 w - - 0 41,e2g3 h6h8,402,91,100,717,endgame master mate mateIn1 oneMove,https://lichess.org/n9ruLfbH/black#80,,"(400, 500]",h6h8,f6e5,h6h8,f4f5,h6g6
BHoP8,3q2k1/5ppp/1p6/p1p5/2P5/1P2P2P/P4PP1/3R2K1 w - - 0 30,e7d8 d1d8,402,90,100,135,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/dL42XVq9/black#58,,"(400, 500]",d1d8,d1d3,f2f4,d1c1,d1d8
Dptrv,2kr1bnr/pppqpppp/8/4P3/2Q2Bb1/8/PP2PPPP/RN2KB1R b KQ - 2 8,c1f4 d7d1,402,92,100,844,mate mateIn1 oneMove opening,https://lichess.org/AA84ufDr#15,,"(400, 500]",d7d1,f7f6,d7d1,d7e6,h7h5
Fqlqq,7k/8/6Kp/6p1/1R4P1/7r/2r5/8 w - - 0 50,h2h3 b4b8 c2c8 b8c8,402,91,100,242,endgame mate mateIn2 rookEndgame short,https://lichess.org/iRHp6EKo/black#98,,"(400, 500]",b4b8,b4a4,b4b6,b4e4,b4b8
IM3M8,3rr1k1/2R4p/p5p1/1p2p3/5n1R/1P3P2/P4P1P/3Q3K b - - 0 42,b1d1 d8d1,402,91,100,369,endgame mate mateIn1 oneMove,https://lichess.org/XuglRVSX#83,,"(400, 500]",d8d1,e8f8,d8d7,d8d1,g6g5
IkTyb,7k/p5q1/1p3r2/2pPp1rp/2P1Bb2/3P3Q/PP3R2/6RK b - - 5 32,f3f2 g5g1,402,88,100,469,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/QYt5V5xs#63,,"(400, 500]",g5g1,g7h6,g5g1,f4h2,g7g8
8HKBc,7k/p1p3pp/b2q4/2p5/2P5/1P3PP1/PB2RK1P/8 w - - 1 28,e7d6 e2e8 d6f8 e8f8,403,89,100,79,endgame mate mateIn2 short,https://lichess.org/L12NBvGX/black#54,,"(400, 500]",e2e8,a2a3,f2e3,e2e6,e2e8
Drdya,r1b4k/pp4bp/3p2p1/3Qn3/4P3/1BP1q2N/P5PP/R6K w - - 2 21,f8g7 d5g8,403,89,100,469,mate mateIn1 middlegame oneMove,https://lichess.org/uxe5MPJ1/black#40,,"(400, 500]",d5g8,a2a4,d5d6,d5b5,d5g8
FkmaB,3q2k1/6pp/p4p2/1p2p3/8/PP4B1/5PPP/3Q2K1 b - - 0 36,c1d1 d8d1,403,95,100,132,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/0B9RImxK#71,,"(400, 500]",d8d1,d8d1,h7h6,g8h8,d8d2
GIS7l,2r2k1b/5p2/p3bPp1/q3p3/3r4/P2B1P2/1PpR4/2K4R w - - 0 33,g7h8 h1h8,403,85,100,148,mate mateIn1 middlegame oneMove,https://lichess.org/jEWVRAnL/black#64,,"(400, 500]",h1h8,h1h8,d3f5,d2c2,h1d1
HnKVF,r7/R6p/6p1/K1kP4/2P2P2/3n2P1/7P/8 b - - 13 48,e7a7 a8a7,403,86,100,585,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/eLVviscO#95,,"(400, 500]",a8a7,a8e8,g6g5,a8d8,a8a7
1lPQO,4r3/1p3b1k/4rp1p/1P6/3B4/2P5/5PPP/R3R1K1 b - - 0 30,c5d4 e6e1 a1e1 e8e1,404,91,100,178,backRankMate endgame mate mateIn2 short,https://lichess.org/dEzzoR6W#59,,"(400, 500]",e6e1,b7b6,e6e1,e8g8,f7h5
21KSF,3r2k1/1q4p1/p5P1/1p2pPQp/2p1P2P/P1P4K/1P6/8 w - - 0 45,a8d8 g5d8,404,89,100,162,endgame mate mateIn1 oneMove,https://lichess.org/2uUDZdis/black#88,,"(400, 500]",g5d8,g5g1,f5f6,g5d8,g5e7
3ommw,5rk1/8/8/1p6/p1b3p1/P1P1R1B1/1P4PP/6K1 b - - 0 39,e1e3 f8f1,404,90,100,311,endgame mate mateIn1 oneMove,https://lichess.org/smGZVp10#77,,"(400, 500]",f8f1,f8f1,f8f4,c4e6,c4d5
4rxop,8/1kp1R3/p1p4q/5P2/3P2P1/P1P2P1p/1P3P1Q/6K1 b - - 0 32,g2f3 h6c1 e7e1 c1e1,404,91,100,354,endgame mate mateIn2 short,https://lichess.org/cR3htPzD#63,,"(400, 500]",h6c1,h6g5,b7c8,c6c5,h6c1
5PqVT,8/5pkp/p3pp2/q7/5n2/PB3Q2/1P4PP/4R2K b - - 2 27,b7f3 a5e1 f3f1 e1f1,404,87,100,171,endgame hangingPiece mate mateIn2 short,https://lichess.org/zPQYGf0t#53,,"(400, 500]",a5e1,a5d2,a5e1,g7g8,f4g2
6Ejdh,r1b2rk1/pp3pp1/2p1pq1p/8/2PPQ3/3B2P1/PP3PP1/2RR2K1 w - - 1 18,d8f6 e4h7,404,90,100,106,mate mateIn1 middlegame oneMove,https://lichess.org/9DS3OD4k/black#34,Queens_Gambit_Declined Queens_Gambit_Declined_Neo-Orthodox_Variation,"(400, 500]",e4h7,e4d5,b2b4,e4h7,d3b1
7TwEb,1r2r1k1/1bp1npbp/p1q1pnp1/1p2N3/3P4/P1P3N1/1PBB1PPP/R2QR1K1 b - - 6 18,f3e5 c6g2,404,91,100,234,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Odpmxh2D#35,Modern_Defense Modern_Defense_Other_variations,"(400, 500]",c6g2,f6d5,c6g2,g6g5,e8f8
AyQCB,r1b3k1/1p3ppp/p7/Q1p5/2Pn1P2/P3r3/6PP/1q3NK1 w - - 0 24,e8e3 a5d8 e3e8 d8e8,404,90,100,252,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/ma6GSedv/black#46,,"(400, 500]",a5d8,a5d8,a5d2,g2g3,g1f2
7lAtN,8/1b1r1kpp/p3pp2/1pP5/1P2pP2/P1Q5/2R3PP/7K b - - 2 30,c1c2 d7d1 c3e1 d1e1,405,88,100,91,backRankMate endgame mate mateIn2 short,https://lichess.org/u6pr2cLr#59,,"(400, 500]",d7d1,d7d1,b7d5,g7g5,f6f5
AaR4I,6k1/2r1pp1p/6p1/p5r1/3R4/1PBB1P2/2K3P1/8 w - - 1 32,f5g5 d4d8,405,102,100,397,endgame master mate mateIn1 oneMove,https://lichess.org/fDpjsXUf/black#62,,"(400, 500]",d4d8,g2g3,b3b4,d4d8,d4d5
Ap7sz,2k5/1ppn4/p1r5/2b3p1/P3R3/1P1P2BP/2P2PP1/5K2 w - - 0 32,f6g5 e4e8,405,90,100,222,endgame mate mateIn1 oneMove,https://lichess.org/WWIjssg0/black#62,,"(400, 500]",e4e8,f2f3,b3b4,e4e8,e4e3
BkfgG,r3r1kb/3b1p1p/2n1p1pB/p2pP1Nn/5Q2/4R2P/2PR1PP1/q4NK1 w - - 1 31,f6h5 f4f7,405,88,100,210,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/YLfF9ZIl/black#60,,"(400, 500]",f4f7,f4c4,e3e2,h6f8,f4f7
I58AI,2kr3r/pp2Rnpp/2p5/8/B7/8/PPP2PPP/R1B3K1 b - - 0 18,e1e7 d8d1 e7e1 d1e1,405,86,100,223,backRankMate mate mateIn2 middlegame short,https://lichess.org/86vvbZmv#35,Ruy_Lopez Ruy_Lopez_Schliemann_Defense,"(400, 500]",d8d1,d8f8,d8g8,d8d1,f7h6
I5pEt,2b2r1k/6p1/p6p/3Q4/5r2/1P6/P1P3PP/R6K b - - 0 30,e1a1 f4f1 a1f1 f8f1,405,97,100,208,backRankMate endgame mate mateIn2 short,https://lichess.org/1jKPeXKO#59,,"(400, 500]",f4f1,f8f5,f4f5,f4f1,f4g4
1PjaR,2bk3r/5pp1/1q1p1n1p/1B6/8/4B3/PPP3P1/4R1K1 w - - 0 22,d4b6 e3b6,406,93,100,90,mate mateIn1 middlegame oneMove,https://lichess.org/aGlDLcmB/black#42,,"(400, 500]",e3b6,e3c5,e3b6,e1d1,e3f2
27Zu8,1r6/2R5/3n3k/6pp/1P1n4/P2B4/K7/8 w - - 2 45,g7h6 c7h7,406,101,100,386,endgame mate mateIn1 oneMove,https://lichess.org/N3ZIYR4r/black#88,,"(400, 500]",c7h7,a3a4,c7e7,c7h7,d3f5
43RQN,6k1/p1p1rppp/8/8/2b3P1/2P3KP/P7/3R4 w - - 0 30,d3c4 d1d8 e7e8 d8e8,406,99,100,130,backRankMate endgame mate mateIn2 short,https://lichess.org/PHcMkUK1/black#58,,"(400, 500]",d1d8,d1d4,d1d5,g3h2,d1d8
5ku9u,5k2/5p2/5P1p/pp6/2p5/7r/PPP5/2KR4 w - - 0 38,e3h3 d1d8,406,97,100,245,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/C5OXpvfg/black#74,,"(400, 500]",d1d8,a2a3,d1d8,d1d5,b2b3
