PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,RatingBin,BestMove,A,B,C,D,GPT_BestMove
04HLq,8/5kpp/4p3/2P1P3/qP6/5rP1/1Q1R3P/2K5 b - - 2 29,d8d2 f3f1 d2d1 a4d1,901.0,76.0,100.0,85.0,endgame mate mateIn2 short,https://lichess.org/GUMIzc8Y#57,,"(900, 1000]",f3f1,a4c6,f3f1,h7h6,a4c2,f3f1
0K1Ly,2r2rk1/pb1n1pp1/1p2p3/2p1P1q1/2PP4/8/PPQR2P1/2K2B1R w - - 0 18,c7c5 c2h7,901.0,83.0,100.0,53.0,mate mateIn1 middlegame oneMove,https://lichess.org/WJzTZogq/black#34,Queens_Pawn_Game Queens_Pawn_Game_Other_variations,"(900, 1000]",c2h7,c2h7,c1b1,h1h6,b2b4,h1h6
1aAvJ,r3q2k/5R2/p5R1/1p1Q4/3P4/6Pr/P4P2/6K1 b - - 0 37,c7f7 e8e1 g1g2 e1h1,901.0,78.0,100.0,366.0,endgame mate mateIn2 short,https://lichess.org/anXnDRn6#73,,"(900, 1000]",e8e1,b5b4,h3h6,e8e1,a8a7,e8e1
27Z83,8/7p/1R6/6pk/8/r6P/5KP1/8 w - - 2 40,h6h5 g2g4 h5h4 b6h6,901.0,77.0,100.0,352.0,endgame mate mateIn2 rookEndgame short,https://lichess.org/TdYKGXGF/black#78,,"(900, 1000]",g2g4,b6b2,h3h4,f2f1,g2g4,g2g4
2JiCg,r1bqkb1r/ppp3pp/2np1n2/3Qp3/2B5/2P2N1P/PP3PP1/RNB1K2R w KQkq - 2 9,e4f6 d5f7,901.0,78.0,100.0,74.0,mate mateIn1 oneMove opening,https://lichess.org/jZ8IAK3v/black#16,Italian_Game Italian_Game_Paris_Defense,"(900, 1000]",d5f7,d5f7,c4b3,e1g1,c1e3,d5f7
2TlZ6,6k1/p2p1p1p/1p2p1pP/4P3/3PQPq1/P1r5/1P1K2P1/8 w - - 0 27,c8c3 e4a8 c3c8 a8c8,901.0,76.0,100.0,224.0,endgame mate mateIn2 short,https://lichess.org/Tq5bwcFd/black#52,,"(900, 1000]",e4a8,e4f3,e4b1,e4e3,e4a8,e4f3
2bqGS,rn2k2r/1p3p2/p2p1qp1/3pp2p/1P2n3/P3P1NQ/1BPP1PPP/R3KB1R b KQkq - 1 13,f5g3 f6f2 e1d1 f2d2,901.0,77.0,100.0,97.0,attackingF2F7 mate mateIn2 opening short,https://lichess.org/i92i6Nog#25,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations,"(900, 1000]",f6f2,h8g8,e4f2,f6f2,f6f3,e4f2
2ru6N,2r4k/2q2pp1/p3p3/1pN4p/6n1/2P2Q2/PP4PP/3R1R1K b - - 0 25,d3c5 c7h2,901.0,76.0,100.0,551.0,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/gi59rr90#49,,"(900, 1000]",c7h2,c7d7,g4h2,c8g8,c7h2,g4h2
3JJsj,r2br1k1/5ppp/pp1B4/2pn4/2P5/8/PPP3PP/R3R1K1 w - - 0 19,f6d5 e1e8,901.0,140.0,100.0,27.0,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/qOx6edzn/black#36,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit,"(900, 1000]",e1e8,e1e5,d6c7,a1b1,e1e8,d6c7
3M2AI,3r1bk1/1r3p1p/8/p3p2Q/3pB3/q2P2PP/5P2/5RK1 w - - 0 26,b8b7 h5h7,901.0,76.0,100.0,229.0,mate mateIn1 middlegame oneMove,https://lichess.org/UvPrd3iG/black#50,,"(900, 1000]",h5h7,h5h7,e4b7,g3g4,f1a1,e4b7
