PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,RatingBin,BestMove,A,B,C,D,GPT_BestMove
7thOS,3r2k1/p3Rr1p/1pp2p1Q/5b1p/2q5/2P5/P4PP1/4R1K1 w - - 2 25,f8f7 e7e8 d8e8 e1e8 f7f8 h6f8,1401.0,83.0,100.0,50.0,long mate mateIn3 middlegame,https://lichess.org/o5r4JCUX/black#48,,"(1400, 1500]",e7e8,e7c7,e1d1,h6f4,e7e8,e7e8
BoFJH,r5rk/pp3p1p/5PnQ/5R2/3q4/8/PP4PP/R6K w - - 2 23,f8g8 h6h7 h8h7 f5h5,1401.0,75.0,100.0,361.0,attraction mate mateIn2 middlegame sacrifice short,https://lichess.org/bFJU8rkI/black#44,,"(1400, 1500]",h6h7,h6h7,f5f1,f5h5,f5d5,h6g7
FmF5c,2kn3r/1b5q/p1p1p3/PpPpPp1r/3P1Pp1/2PB2P1/3B2K1/5QRR b - - 0 31,h2g3 h5h2 h1h2 h7h2,1401.0,75.0,100.0,566.0,mate mateIn2 middlegame short,https://lichess.org/Thlvg6cC#61,,"(1400, 1500]",h5h2,h7h6,h7e7,h5h2,h5h3,h7h2
HY3P4,7r/pb4Q1/npk1pr2/2p5/4P2P/P1P5/2P1q3/3R1RK1 w - - 3 30,d6c6 g7d7,1401.0,75.0,100.0,216.0,mate mateIn1 middlegame oneMove,https://lichess.org/qjsIOdPF/black#58,,"(1400, 1500]",g7d7,f1f5,g7e7,g7f8,g7d7,g7g8
6wTUw,4k2r/1b2q1p1/4ppNp/p2p4/3P1P2/b1KB1NP1/P3Q1P1/4R2R b k - 0 27,b2c3 e7b4 c3c2 b4b2 c2d1 b2c1,1402.0,75.0,100.0,367.0,long mate mateIn3 middlegame,https://lichess.org/JhVB2mx9#53,,"(1400, 1500]",e7b4,e7b4,e7c7,a3c1,a3b4,h8g8
7AG0b,2k5/1pp1n1Np/p2p2p1/3Pp3/2P5/4K3/1q2B1Q1/4R2R b - - 2 27,d2e3 b2d4 e3f3 d4f4,1402.0,76.0,100.0,139.0,mate mateIn2 middlegame short,https://lichess.org/8iuUu102#53,,"(1400, 1500]",b2d4,c8d8,b2d4,e7c6,b2b6,b2b4
9qyt3,r1bk2nr/pppp2Qp/8/8/2BbP3/8/P2q1PPP/R4RK1 w - - 1 14,c5d4 g7f8,1402.0,76.0,100.0,384.0,mate mateIn1 middlegame oneMove,https://lichess.org/vDJ0v5rm/black#26,Italian_Game Italian_Game_Evans_Gambit,"(1400, 1500]",g7f8,a2a4,g7f8,g7e7,c4e6,g7d4
ByYoe,r1bq3r/4b1p1/1np3kp/3pPpN1/pp1P3P/1P2B3/P1P1QPP1/4RRK1 w - - 0 19,h7h6 h4h5,1402.0,75.0,100.0,1635.0,mate mateIn1 middlegame oneMove,https://lichess.org/ioyjpvFw/black#36,French_Defense French_Defense_Mediterranean_Defense,"(1400, 1500]",h4h5,h4h5,e3d2,g1h1,f2f3,g5e6
Drd0E,4rk1r/1pp3p1/p1n4p/2b1pq2/2NpQn2/1B1P1P2/PPPB1P1P/4RRK1 b - - 9 20,e2e4 f5g5 g1h1 g5g2,1402.0,75.0,100.0,284.0,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/CfRwqdB8#39,,"(1400, 1500]",f5g5,f5g5,c6a7,f5e4,f8e7,f5e4
IU510,4rr1k/1p3p1p/p1p2p2/3pqQ2/1P4R1/P5RP/2P3PK/8 w - - 5 31,e1e5 f5h7 h8h7 g4h4 e5h5 h4h5,1402.0,75.0,100.0,512.0,attraction endgame kingsideAttack long mate mateIn3 sacrifice,https://lichess.org/s3l9b2Qs/black#60,,"(1400, 1500]",f5h7,f5d3,f5f2,f5h7,f5e6,f5h7
